Canonical Reference Song Index
=======================================
english | #1 | Spirit of the Living God | F | normalized= spirit of the living god
hindi | #2020 | m मेरेछोटेह्रदयसेHosanna Yahudiyokerajako | D | normalized= m hosanna yahudiyokerajako
hindi | #2021 | Hey Prabhu Yeshuindonopar | F | normalized= hey prabhu yeshuindonopar
hindi | #2022 | Yeshunedihaishifaa | D | normalized= yeshunedihaishifaa
hindi | #2023 | Aradhana Yeshu Tujhe | B | normalized= aradhana yeshu tujhe
hindi | #2024 | Tumsa Koi Nahi Tuzhakoninahi | D | normalized= tumsa koi nahi tuzhakoninahi
hindi | #2026 | Uskephatak Omeypraveshkarunga | E | normalized= uskephatak omeypraveshkarunga
hindi | #2027 | Chhotebachhokopaasanedo | G | normalized= chhotebachhokopaasanedo
hindi | #2028 | Tere Binamaikuchbhinahi | C | normalized= tere binamaikuchbhinahi
hindi | #2029 | Dhanyavadkare Prabhuki Mahimakare | F | normalized= dhanyavadkare prabhuki mahimakare
hindi | #2030 | Tere Paasaataahu | D | normalized= tere paasaataahu
hindi | #2031 | Kuchnahikuchhnahichahiye Yeshu | D | normalized= kuchnahikuchhnahichahiye yeshu
hindi | #2032 | Chattan Bhavarkebeechme | D | normalized= chattan bhavarkebeechme
hindi | #2033 | Gin Ginkestutikaru | A | normalized= gin ginkestutikaru
hindi | #2034 | Teri Tarifh O | G | normalized= teri tarifh o
hindi | #2035 | Ekaaghardilme | D | normalized= ekaaghardilme
hindi | #2036 | Yeshumeredilmeaa | G | normalized= yeshumeredilmeaa
hindi | #2037 | m पवित्रअतिपवित्रस्थानमेंलेचलप्रभुPavitraati Pavitrasthaanmelechal Prabhu | G | normalized= m pavitraati pavitrasthaanmelechal prabhu
hindi | #2038 | Maihaathuthakargaunga | G | normalized= maihaathuthakargaunga
hindi | #2039 | Pavitra Mujhebanadey Prabhu | C | normalized= pavitra mujhebanadey prabhu
hindi | #2040 | Terejaisakaunhai Elshadai Aradhana | A | normalized= terejaisakaunhai elshadai aradhana
hindi | #2042 | Merejeevanmeyyeshuteranaam | G | normalized= merejeevanmeyyeshuteranaam
hindi | #2043 | Chalotumkhudakesaathraastasakrahai | A | normalized= chalotumkhudakesaathraastasakrahai
hindi | #2044 | Heyjivit Prabhu Yeshumaiteriaaradhanakartahu | A | normalized= heyjivit prabhu yeshumaiteriaaradhanakartahu
hindi | #2044 | Pavitraaatmaaa Teraswagathai | E | normalized= pavitraaatmaaa teraswagathai
hindi | #2045 | Tupavitrapavitrahai | F | normalized= tupavitrapavitrahai
marathi | #1 | Khristamazat Osarvancha | E | normalized= khristamazat osarvancha
