Language,Song Number,Original Title,Normalized Title,Reference Key
english,82,WEAREHERETOPRAISEYOU,weareheretopraiseyou,D
english,84,WHENILOOKINTOYOURHOLINESS,whenilookintoyourholiness,D
english,87,Imfollowing Jesus,imfollowing jesus,F
english,88,COMEBLESSTHELORDALLYESERVANTSOFTHELORD,comeblessthelordallyeservantsofthelord,G
english,95,Holy Spiritwewelcomeyou,holy spiritwewelcomeyou,C
english,97,Blessedbethenameofthe Lord Heisworthytobepraised,blessedbethenameofthe lord heisworthytobepraised,F
english,99,Ah Lord God Thouhastmadetheheavens,ah lord god thouhastmadetheheavens,C
english,100,Wehavecomeinto Hishouse,wehavecomeinto hishouse,F
english,104,All Heavens Declare,all heavens declare,A
english,105,JESUSWHATAWONDERYOUARE,jesuswhatawonderyouare,G
english,110,GIVEHEEDTOMYWORDSOLORD,giveheedtomywordsolord,F
english,111,Takeupyour Cross,takeupyour cross,F
english,112,HAVEYOURWAY,haveyourway,G
english,115,The Moveisonmy Lord,the moveisonmy lord,C
english,119,LORDGIVEMEALSOSPRINGSOFWATER,lordgivemealsospringsofwater,E
english,120,Amazing Grace How Sweet That Sound,amazing grace how sweet that sound,G
english,121,Theycomefromtheeastandwest,theycomefromtheeastandwest,D
english,123,Ilove Himbecausehefirstlovedme,ilove himbecausehefirstlovedme,A
english,125,IAMTHINKINGOFTHERAPTURE,iamthinkingoftherapture,F
english,128,WHENTHEBATTLEISOVER,whenthebattleisover,F
english,130,WEAREMARCHINGTOZION,wearemarchingtozion,G
english,136,Isurrender All,isurrender all,D
english,137,Letmewalk Fillmyway,letmewalk fillmyway,F
english,141,LOVELIFTEDME,loveliftedme,A
english,142,Thereshallbeshowersofblessings,thereshallbeshowersofblessings,A
english,144,Iamthine Oh Lord Drawmenearer,iamthine oh lord drawmenearer,E
english,145,Ihavelostmy Reputation IAMMARKED,ihavelostmy reputation iammarked,A
english,148,JESUSHASATABLESPREAD,jesushasatablespread,C
english,149,Inthesweetbyandby,inthesweetbyandby,G
english,152,Shallwegatherattheriver,shallwegatherattheriver,E
english,156,Praisethe Lord,praisethe lord,G
english,161,Thereisafountainfilledwithblood,thereisafountainfilledwithblood,
english,162,MINEEYESHAVESEENTHEGLORY,mineeyeshaveseentheglory,G
english,163,WHENTHETRUMPETOFTHELORDWHENTHEROLL,whenthetrumpetofthelordwhentheroll,F
english,166,SPEAKMYLORD,speakmylord,G
english,167,Theloveof Godisgreaterfar,theloveof godisgreaterfar,F
english,175,When Hereacheddown Hishandforme Iwaslost,when hereacheddown hishandforme iwaslost,C
english,178,O Lord My God,o lord my god,C
english,182,Allhailthe Powerof Jesus Name,allhailthe powerof jesus name,F
english,183,Atthecrosswhere Ifirstsawthelight,atthecrosswhere ifirstsawthelight,F
english,184,O Happy Day,o happy day,G
english,186,WHENTHESAVIOURCALLS,whenthesaviourcalls,G
english,188,Holdto Godsunchanginghand,holdto godsunchanginghand,G
english,189,Nationsarebreaking Thedayofredemption,nationsarebreaking thedayofredemption,F
english,191,ONAHILLFARAWAYOLDRUGGEDCROSS,onahillfarawayoldruggedcross,G
english,192,WONDERFULJESUSISTOMEOMYHEARTSINGSTODAY,wonderfuljesusistomeomyheartsingstoday,G
english,193,IMAPILGRIMANDASTRANGERWHENTHESAINTS,imapilgrimandastrangerwhenthesaints,D
english,195,Thoumyeverlastingportion Closeto Thee,thoumyeverlastingportion closeto thee,G
english,198,SUCHLOVESUCHWONDROUSLOVE,suchlovesuchwondrouslove,G
english,199,DOWNFROMHISGLORY Ohow Ilove Him,downfromhisglory ohow ilove him,D
english,200,Blessed Assurance Jesusismine,blessed assurance jesusismine,D
english,201,Onceourblessed Christof Beauty Ohbeholdthemanofsorrow,onceourblessed christof beauty ohbeholdthemanofsorrow,D
english,202,Jesusbreakseveryfetter,jesusbreakseveryfetter,A
english,203,When Isawthe Cleansing Foutain,when isawthe cleansing foutain,D
english,204,Whatafriendwehavein Jesus,whatafriendwehavein jesus,G
english,205,IAMBOUNDFORTHEPROMISEDLANDG205,iamboundforthepromisedlandg205,G
english,209,My Hopeisbuiltonnothingless,my hopeisbuiltonnothingless,G
english,214,Takethenameof Jesuswithyou,takethenameof jesuswithyou,G
english,215,WHATAGATHERING,whatagathering,A
english,218,The Original Life,the original life,A
english,219,JESUSYOURETHESWEETESTNAME,jesusyourethesweetestname,F
english,220,Blessthe Lord Omysoulworship Hisholyname,blessthe lord omysoulworship hisholyname,F
